"lat","lon","lcl","ucl","median"
38.2109603881836,-89.544692993164,7.11,14.23,21.34
38.4894905090332,-89.4600524902344,7.14,14.28,21.43
38.7681999206543,-89.3746032714844,7.17,14.35,21.52
39.0470809936523,-89.2883377075195,7.25,14.51,21.76
39.3261108398438,-89.2012329101562,7.32,14.64,21.96
39.6052894592285,-89.1132888793945,7.39,14.77,22.16
39.8846206665039,-89.0244827270508,7.48,14.95,22.43
40.1641006469727,-88.9348068237305,7.49,14.98,22.48
40.4436988830566,-88.8442611694336,7.42,14.84,22.26
40.7234306335449,-88.7528228759766,7.32,14.64,21.96
41.0032806396484,-88.6604614257812,7.31,14.61,21.92
41.2832489013672,-88.5671768188477,5.83,11.65,17.48
41.5633201599121,-88.4729766845703,7.19,14.38,21.58
41.8434906005859,-88.3778228759766,7.01,14.02,21.02
42.1237411499023,-88.2817001342773,7.11,14.22,21.33
42.4040794372559,-88.1846084594727,6.98,13.96,20.93
42.6845016479492,-88.0865173339844,6.77,13.54,20.31
37.0333404541016,-89.527603149414,5.39,10.79,16.18
37.3107490539551,-89.4445571899414,5.02,10.04,15.05
37.5883483886719,-89.3607406616211,6.81,13.62,20.43
37.866138458252,-89.2761306762695,6.96,13.92,20.88
38.1441192626953,-89.1907119750977,7.1,14.19,21.29
38.4222793579102,-89.1044921875,6.64,13.29,19.93
38.7005996704102,-89.0174407958984,7.21,14.43,21.64
38.9790916442871,-88.929573059082,7.24,14.47,21.71
39.257740020752,-88.8408432006836,7.38,14.76,22.13
39.5365409851074,-88.7512512207031,7.43,14.85,22.28
39.8154792785645,-88.6607971191406,7.46,14.92,22.38
40.0945587158203,-88.5694580078125,7.62,15.23,22.85
40.3737716674805,-88.4772262573242,7.53,15.05,22.58
40.6530990600586,-88.3840789794922,7.52,15.03,22.55
40.9325485229492,-88.290023803711,7.17,14.34,21.52
41.2121200561523,-88.1950073242188,5.62,11.25,16.87
41.4917793273926,-88.0990676879883,6.18,12.36,18.55
41.771541595459,-88.0021591186523,5.31,10.62,15.93
